Month,Day,Used GB
July,1,43
July,2,40
July,3,40
July,4,41
July,5,41
July,6,41
July,7,42
August,8,42
August,9,42
August,10,42
August,11,42
August,12,41
August,13,41
August,14,41
August,15,42
August,16,41
August,17,42
August,18,42
August,19,41
August,20,42
August,21,41
August,22,42
August,23,42
August,24,42
August,25,42
August,26,42
August,27,42
August,28,43
August,29,43
August,30,45
August,31,46
August,32,47
August,33,44
August,34,45
August,35,46
August,36,46
August,37,46
August,38,47
September,39,47
September,40,48
September,41,51
September,42,51
September,43,52
September,44,52
September,45,50
September,46,50
September,47,51
September,48,51
September,49,51
September,50,52
September,51,53
September,52,53
September,53,53
September,54,59
September,55,58
September,56,59
September,57,55
September,58,55
September,59,56
September,60,56
September,61,56
September,62,57
September,63,58
September,64,57
September,65,57
September,66,58
September,67,58
September,68,62
October,69,62
October,70,62
October,71,61
October,72,61
October,73,61
October,74,61
October,75,62
October,76,62
October,77,63
October,78,63
October,79,65
October,80,64
October,81,66
October,82,66
October,83,65
October,84,65
October,85,65
October,86,67
October,87,67
October,88,67
October,89,68
October,90,68
October,91,68
October,92,70
October,93,69
October,94,73
October,95,72
October,96,72
October,97,70
October,98,71
October,99,72
November,100,72
November,101,72
November,102,73
November,103,77
November,104,76
November,105,78
November,106,79
November,107,76
November,108,80
November,109,79
November,110,81
