Month,Day,Used GB
July,1,76
July,2,76
July,3,76
July,4,77
July,5,77
July,6,77
July,7,77
August,8,77
August,9,77
August,10,77
August,11,77
August,12,77
August,13,77
August,14,77
August,15,77
August,16,77
August,17,77
August,18,77
August,19,77
August,20,77
August,21,77
August,22,77
August,23,77
August,24,77
August,25,77
August,26,77
August,27,77
August,28,78
August,29,79
August,30,79
August,31,79
August,32,80
August,33,81
August,34,82
August,35,83
August,36,83
August,37,83
August,38,84
September,39,85
September,40,85
September,41,86
September,42,86
September,43,87
September,44,88
September,45,88
September,46,89
September,47,89
September,48,90
September,49,91
September,50,91
September,51,93
September,52,92
September,53,93
September,54,94
September,55,95
September,56,95
September,57,96
September,58,96
September,59,96
September,60,97
September,61,97
September,62,97
September,63,99
September,64,99
September,65,99
September,66,100
September,67,99
September,68,100
October,69,101
October,70,102
October,71,105
October,72,103
October,73,103
October,74,105
October,75,105
October,76,110
October,77,105
October,78,107
October,79,107
October,80,108
October,81,108
October,82,108
October,83,108
October,84,112
October,85,114
October,86,115
October,87,115
October,88,117
October,89,118
October,90,118
October,91,119
October,92,120
October,93,121
October,94,121
October,95,122
October,96,124
October,97,125
October,98,125
October,99,126
November,100,126
November,101,127
November,102,126
November,103,128
November,104,127
November,105,128
November,106,130
November,107,130
November,108,132
November,109,132
November,110,133
November,111,133
November,112,135
November,113,135
November,114,136
November,115,137
November,116,138
November,117,138
November,118,138
November,119,139
November,120,139
November,121,139
November,122,140
November,123,141
November,124,142
November,125,143
November,126,144
November,127,144
November,128,144
November,129,146
December,130,146
December,131,148
December,132,148
December,133,148
December,134,148
December,135,150
December,136,151
December,137,150
December,138,151
December,139,151
December,140,153
December,141,153
December,142,153
December,143,153
December,144,155
December,145,155
December,146,155
December,147,155
December,148,156
December,149,157
December,150,157
December,151,157
December,152,157
December,153,157
December,154,158
December,155,158
December,156,159
December,157,159
December,158,159
December,159,159
December,160,159
January,161,160
January,162,161
January,163,161
January,164,161
January,165,161
